Product Name,Units Reimbursed,Number of Prescriptions,Medicaid Amount Reimbursed,Non Medicaid Amount Reimbursed
FOCALIN 5,273474.0,7163.0,299571.69,1629.67
DUREZOL 0.,37666.0,7156.0,1420118.1099999999,18335.289999999997
HEPARIN 10,75322.024,7148.0,1601522.3200000005,80937.30999999998
PRENATE MI,220581.0,7144.0,1769102.7100000004,51074.21
Magnesium,317464.10599999997,7136.0,50150.59999999998,30312.54
DANTROLENE,673897.5499999999,7132.0,590894.38,31133.980000000003
PALIVAZUMA,4254.8,7125.0,11690375.740000002,282602.23000000004
ACETIC ACI,1552677.0,7116.0,153406.51000000004,2183.03
RELION NOV,130099.1,7113.0,527539.61,5570.78
LINEZOLID,405797.0,7095.0,1383463.3999999997,24918.57
SENNO TABL,482320.0,7093.0,54229.41,16.53
CETERIZINE,271080.0,7083.0,41599.950000000004,0.0
GAMUNEX-C,2711970.87,7065.0,23901033.65,1726923.51
Prednisolo,301104.907,7055.0,349058.13999999996,6832.620000000001
ARANESP  D,4680.504,7045.0,1361210.58,12214.35
SENNO,478673.0,7044.0,53807.409999999996,0.0
EUTHYROX,261012.0,7034.0,43389.73000000001,2683.81
Larissia (,265394.0,7027.0,97434.01,172.83999999999997
ALVESCO IN,100332.4,7024.0,71229.53,8096.14
ZEMPLAR PA,5120.4,7005.0,45390.95,1068439.85
BALSALAZID,1515654.0,7003.0,631419.16,8885.289999999999
BANZEL,2826074.5,6996.0,17465876.14,1788598.1399999994
FAMCICLOVI,213230.0,6992.0,202855.8300000001,4098.659999999999
PROTOPIC 0,401340.0,6985.0,3574813.8100000005,26981.659999999993
TEGRETOL 2,740076.0,6980.0,1775495.3100000003,32166.55
FIBER TABS,437131.0,6979.0,59647.93000000001,671.87
Olmesartan,257840.0,6960.0,83345.73000000003,3319.93
FENOFIRATE,259626.0,6959.0,75743.93000000001,721.2199999999999
TOVIAZ,219335.0,6951.0,2446315.45,32868.49
Torsemide,443310.0,6923.0,70899.92,2062.4300000000003
NON-ASPIRI,577030.79,6920.0,27207.93,99.63000000000001
SENSIPAR,78509.593,6915.0,3136324.0500000007,106839.96
Naproxen S,271293.0,6912.0,212707.80999999994,2624.55
Nystatin O,966519.7220000002,6909.0,88761.01000000001,1419.7800000000002
SEGLUROMET,436768.0,6905.0,2101356.4899999998,2080.2000000000003
PREZISTA,257981.0,6902.0,11448080.260000004,35230.31
GNP Aspiri,239881.0,6892.0,27414.729999999996,147.52999999999997
ETODOLAC,337134.0,6881.0,172564.53000000003,676.5799999999999
URSODIOL 2,519139.94399999996,6874.0,498151.06000000006,7363.610000000001
REXULTI 0.,205999.0,6873.0,7535802.879999999,102932.15999999997
FENOFIBRIC,247203.0,6856.0,314535.92,3664.84
ETOPOSIDE,71559.914,6840.0,676500.2800000001,86128.10000000005
SSD,781295.35,6788.0,106569.26000000004,610.87
DAPSONE 10,208725.4,6780.0,291931.93000000005,3489.91
LYRICA 300,397996.0,6771.0,3081581.2800000007,18580.86
DOXORUBICI,263405.72,6769.0,1579714.419999999,403024.06999999983
GYCOPYRROL,477779.703,6762.0,214194.24000000005,7223.45
Letrozole,193024.0,6756.0,71895.5,3809.1399999999994
SENNA LAX,380314.0,6745.0,60668.26,288.11
NIKKI,238561.10700000002,6740.0,188718.73999999996,526.36
TADALAFIL,279897.498,6739.0,3405475.3899999997,56377.04
SOD BICARB,1595191.0300000007,6736.0,312609.9,15076.399999999998
GADAVIST,166922.86100000003,6734.0,787794.5000000002,29439.570000000003
FOCALIN 10,298858.0,6724.0,430359.67,3985.08
WARFARIN 3,248309.5,6723.0,59157.68999999999,1973.5199999999998
PIROXICAM,221770.1,6703.0,170184.81000000003,2879.380000000001
LAMICTAL 2,753732.5,6679.0,9359069.799999999,1015033.2499999999
SM PAIN &,1030449.9160000001,6663.0,100634.21,54.17
Colchicine,208729.0,6650.0,932982.9499999998,11048.22
ETODOLAC 5,355523.0,6646.0,177035.74,3685.6300000000006
HECTOROL 2,8656.5,6644.0,31184.409999999996,5699.66
BANOPHEN 5,267616.0,6629.0,18746.559999999998,2667.6200000000003
VASCEPA,766533.0,6628.0,1992782.29,25091.68
VESICARE 5,201996.0,6616.0,2505825.3200000003,34747.899999999994
TUDORZA PR,5416.349999999999,6614.0,3475567.4299999992,2454.64
VIGAMOX 0.,20067.549,6613.0,1150977.87,2362.3999999999996
FYCOMPA,479777.5,6613.0,6097812.269999997,616066.34
Nexium For,225973.0,6599.0,1809705.1,104965.45000000001
LARIN 24 F,251398.0,6593.0,300924.07,606.75
Calcitriol,210312.0,6590.0,80386.18000000005,1579.5500000000002
COUGH DM,1415335.4,6587.0,32292.500000000004,53.61
WARFARIN 7,203943.0,6584.0,54614.14,1870.7
SODIUM ACE,984421.299,6577.0,1068153.7299999997,877.7699999999999
CAPMIST DM,171808.0,6574.0,58794.75,0.0
ROBAFEN 10,1272191.484,6566.0,32625.989999999998,134.78
PERFOROMIS,770880.0,6564.0,3320061.149999999,1451890.0400000005
ERRIN,202388.0,6563.0,60779.07000000001,41.120000000000005
ENBREL SUR,27753.300000000003,6558.0,36696848.69999999,124255.52
TINIDAZOLE,60166.60800000001,6551.0,159945.13000000006,2925.9900000000002
PROMETHEGA,105732.0,6536.0,645113.7000000002,9329.46
Pravasatat,239907.0,6532.0,44942.48,2142.66
FISH OIL,477632.0,6522.0,17778.49,424.68
EMEND 150M,6648.204,6501.0,1872909.23,329561.7399999999
Eszopiclon,187751.0,6497.0,95448.42,6654.03
GABAPENT T,653749.0,6483.0,91544.11,593.64
Potassiium,309975.0,6479.0,90100.23999999999,4672.94
SAPHRIS,282382.0,6440.0,5298792.4399999995,188408.92999999996
VITAMIN A,978434.983,6437.0,60635.17999999999,975.44
DOCETAXEL,52792.086000000025,6434.0,2004179.8800000008,529960.97
ORA PLUS,673898.193,6415.0,225873.30000000005,4941.0599999999995
Farxiga 10,228060.0,6412.0,3589749.29,59116.14
Tri-Linyah,246658.0,6406.0,81223.73000000001,380.77000000000004
VEMLIDY,193163.0,6391.0,7284793.800000001,4612.45
ADAPALENE-,291195.0,6384.0,268052.15,11117.950000000003
GS CLEARLA,2995937.0,6380.0,106305.07,455.96
PROPAFENON,526993.146,6377.0,314509.73000000004,3136.4600000000005
DESOGESTR-,238702.0,6374.0,151116.09000000003,267.95000000000005
PREVIFEM T,223780.82,6373.0,97607.88999999998,104.52
DELSYM 30,773581.0,6372.0,82112.03999999998,166.47
SUPREP Bow,6400.842,6372.0,636001.58,14294.109999999999
PNV 29-1 T,218129.0,6348.0,102421.58,1356.6899999999998
BALCOLTRA,208768.0,6347.0,1446786.24,8098.549999999999
GIANVI,218146.0,6343.0,208667.76,68.0
Liothyroni,365555.0,6331.0,194307.37,4343.959999999999
BYSTOLIC,243749.0,6324.0,1173534.91,19009.600000000002
VIRT-CAPS,195576.0,6319.0,88803.93999999997,2690.48
MUCINEX ER,205320.0,6308.0,122734.88000000002,853.44
APTIOM,269605.0,6296.0,8464508.16,318488.5299999999
POLY-HIST,908795.0,6295.0,148772.12000000002,48.0
Methimazol,320140.79000000004,6292.0,59655.959999999985,1802.1200000000003
RHOPHYLAC,7428.621999999999,6280.0,656088.6200000003,20821.219999999994
ALCOHOL SW,660530.0,6278.0,14850.99,308.55
NIZATIDINE,629599.2,6275.0,518113.1399999998,35116.43
BRILINTA 6,393080.0,6269.0,2402949.5199999996,12728.02
VIIBRYD 10,197571.5,6261.0,1791316.4800000002,39032.12000000001
CLARAVIS 3,336580.0,6258.0,1735031.51,22538.33
RANEXA ER,375504.0,6250.0,2634871.59,2779.0800000000004
FLOVENT 25,392863.0,6250.0,1631033.4099999997,32304.76
NATURAL FI,2294880.022,6249.0,51712.329999999994,1955.5599999999997
LAXATIVE E,170879.0,6248.0,13501.16,272.72
PENTASA 50,1127607.0,6245.0,6296316.029999998,322054.04
SRONYX,216670.0,6240.0,79362.44000000002,74.75
ZINC SULFA,81318.85900000001,6230.0,1387759.7900000003,1176.56
SOTALOL,401224.248,6209.0,83401.33999999995,408.56999999999994
PODOFILOX,23039.771,6201.0,292530.06999999995,2955.95
APRODINE,263162.0,6194.0,17935.4,0.0
MINTOX SUS,2218131.6270000003,6179.0,41211.979999999996,820.27
Gemfibrozi,426406.0,6176.0,71736.23,2654.6400000000003
Azathiopri,419683.451,6166.0,160120.54000000004,8929.35
NEOMYC-POL,27851.189,6148.0,95406.73,2524.5699999999997
AMOXICILLA,918600.0,6137.0,55564.65999999999,196.77
HISTEX 2.5,599789.17,6122.0,62118.04,0.0
OXYCODON-A,465189.0,6106.0,118624.04000000004,6519.250000000001
LDR ASPIRI,269676.0,6094.0,25336.420000000006,145.3
ELIDEL,365250.0,6090.0,3469046.7000000007,15432.939999999999
VENOFER (I,65416.194999999985,6087.0,652214.0999999997,28951.309999999998
VIGAMOX,18501.0,6084.0,1063497.36,1738.5
EPIPEN 2-P,25349.4,6079.0,3495036.34,127275.43
HM CHILD I,1015036.0,6071.0,36867.41,10.65
SHAROBEL 0,237743.076,6055.0,73238.23999999999,153.85
Naproxen 2,273482.0,6049.0,36697.759999999995,687.9499999999999
DECONEX DM,166124.0,6047.0,106027.38,54.0
TRIAMETERE,253450.0,6045.0,51505.68000000001,1919.3600000000001
NORTREL 1/,291386.03400000004,6023.0,183479.40999999997,710.7
CLARAVIS,301785.0,6021.0,1328943.7400000002,14826.26
CIPRO HC O,60135.0,6013.0,1825031.1800000002,53279.54
PINEAPPLE,25087111.0,6005.0,81585.11999999998,1147.54
BYSTOLIC 2,253649.0,6000.0,1203087.7,20943.450000000004
CEFEPIME P,356432.794,5989.0,796526.2399999998,82458.04999999999
AZELAIC AC,300755.0,5982.0,820668.52,9137.770000000002
DEPAKOTE S,1486784.0,5979.0,2009416.72,345217.56
URSODIOL 5,373273.967,5974.0,551733.1900000001,8169.16
CAMILA,208431.0,5957.0,64172.76000000001,51.79
NORLYDA,268805.0,5942.0,98720.20999999999,30.57
RENAGEL 80,1305094.0,5921.0,9263444.27,22537.3
BRIVIACT,639047.0,5918.0,7115273.67,591840.3500000002
CLEARATADI,176118.0,5915.0,55613.63,312.67
DICLEGIS,405552.0,5913.0,2656180.4,26651.86
ALMACONE S,1919099.773,5909.0,39156.82,354.7800000000001
ENDOCET,463989.0,5885.0,128946.72000000002,83.21000000000001
Se-Natal 1,301137.0,5874.0,193860.55,1288.5099999999998
INTROVALE,535845.774,5871.0,262519.38,364.74
DIURIL 250,657460.885,5869.0,200132.94,7165.43
NP Thyroid,231557.0,5843.0,175832.22,1713.2599999999998
GUAIATUSSI,910059.5,5838.0,53364.130000000005,1628.38
SM EYE ITC,30518.0,5836.0,44911.75000000001,156.62
ARANESP 60,2749.8330000000005,5835.0,1252117.67,100248.59
PREMPRO,173829.0,5827.0,1225476.4200000002,7878.860000000001
DIALYVITE,168525.0,5822.0,49850.86000000001,1042.6200000000001
TRIPHROCAP,174175.0,5817.0,68636.37,1140.58
HUMALOG 20,80283.475,5816.0,5228025.709999999,181590.25999999998
REGULOID/N,2428821.0,5814.0,24917.12,83.71
ARISTADA,17229.434999999994,5812.0,13538801.47,70425.31
Wixela 500,375600.0,5809.0,1373746.01,6933.0
SRONYX TAB,277736.394,5805.0,114937.4,41.54
TERBUTALIN,41350.0,5802.0,250144.28999999992,8637.310000000001
BICALUTAMI,182761.0,5798.0,87572.74,1549.2600000000002
EluRyng (E,8156.0,5787.0,1009544.4099999999,7813.22
LARIN,173782.0,5784.0,105078.65000000001,94.28
VOL-PLUS T,187898.0,5780.0,81640.48999999998,480.47
TEGRETOL X,558996.0,5777.0,1655388.0600000003,35354.4
ACARBOSE,503207.0,5770.0,94515.40000000005,463.12
DILAUDID,35939.5,5735.0,3425296.4499999997,3876.5099999999998
Sucralfate,3359469.633,5735.0,1369938.61,37474.829999999994
TRUEPLUS P,556558.0,5732.0,129838.06000000003,153.48
Enskyce Ta,227083.0,5719.0,84533.98000000001,351.70000000000005
Pravastati,210844.0,5717.0,45965.37,2512.8900000000003
INTEGRA F,186050.0,5714.0,102791.41999999998,962.34
LevEthEst,369343.0,5708.0,218995.87999999998,861.6500000000001
ZEMPLAR 2,9772.5,5700.0,69408.38999999998,7190.35
SANTYL,295990.0,5686.0,2289201.1900000004,42894.51
KLOR-CON 2,150565.0,5678.0,532029.3700000001,5019.49
Methotrexa,113799.37999999999,5675.0,104994.85,2290.9300000000003
MIRCERA 50,1467.8640000000003,5670.0,395083.39,1122666.0199999998
KEPPRA XR,671720.0,5667.0,5284419.56,251423.10999999996
ED-A-HIST,740181.5,5656.0,94747.32,1026.03
ARISTADA 1,21921.787000000004,5655.0,16786874.240000002,74815.68999999999
NORVIR 100,213175.0,5645.0,1705697.08,4407.82
SENNA-S,329222.0,5633.0,36964.7,700.35
AUBAGIO 14,171100.0,5629.0,42330184.910000004,156027.78
CARNITOR 1,327457.4749999999,5618.0,972887.23,15815.12
OMNITROPE,38074.808000000005,5599.0,16538764.969999999,531608.0000000001
ACID REDUC,271282.0,5597.0,44435.719999999994,385.7800000000001
Wixela 100,350582.0,5587.0,800413.6300000001,5412.28
ABRAXANE 1,8637.81,5586.0,10283175.46,1370720.23
IMATINIB M,212791.6,5584.0,12523060.010000002,40142.560000000005
VESICARE,172101.0,5583.0,2150432.6700000004,2790.92
QUELICIN(S,38086.8,5581.0,1843607.7699999998,67747.56999999998
ACARBOSE 5,530724.0,5580.0,127642.65999999996,1080.38
DESOGESTRE,242184.01,5579.0,158830.2,251.81
MOVANTIK,166735.0,5579.0,1916321.8199999998,11907.35
AZACITIDIN,21315.14,5567.0,711420.7600000001,152999.46
Methadone,763756.1,5563.0,88909.13000000002,858.65
OXCODONE H,542106.0,5553.0,107295.19,1744.24
INTEGRA PL,175862.0,5544.0,117168.48000000001,787.1200000000001
JANTOVEN,162493.35700000002,5539.0,29569.57,467.59
TARINA FE,228802.158,5536.0,257147.97000000003,171.23000000000002
XOFLUZA 20,11055.0,5532.0,811118.6799999999,28081.300000000003
Enoxaparin,27569.176999999996,5516.0,215504.67000000004,63338.94
ATRIPLA,173013.0,5516.0,16586133.459999997,52215.18
SM OMEPRAZ,203505.2,5513.0,69657.98,326.97
KEPPRA,1449038.6,5511.0,4675189.5200000005,483202.72000000003
LEVONORG-E,501865.0,5494.0,517087.73,1228.71
ASMANEX,1099.2000000000003,5492.0,1227011.3,13344.209999999997
MUCUS RLF,142273.0,5488.0,62768.159999999996,566.33
JANTOVEN 5,212813.35700000002,5478.0,36002.899999999994,1937.58
DESIPRAMIN,267062.5,5466.0,300530.95000000007,3567.02
AFTERA 1.5,5512.596,5466.0,72979.05,45.62
CAMILA TAB,206361.426,5464.0,66805.93000000001,110.33
PROCTOFOAM,63460.0,5460.0,874549.3200000001,16547.71
RAMIPRIL C,239756.0,5444.0,38866.94,1133.65
Kurvelo,243901.0,5415.0,89496.7,434.34000000000003
NORTREL 7/,207899.402,5407.0,116777.96999999999,75.46
HEATHER,178786.0,5403.0,58165.16000000001,87.17
Silver Sul,629579.962,5397.0,88822.42000000001,1780.5599999999997
Retin-A Cr,201525.0,5390.0,479907.66,3495.77
SM CHILD A,629528.0,5369.0,31792.99,78.53
CARBAMZEPI,722295.5,5361.0,230919.03000000003,6697.49
PEG 3350 P,1965755.0,5357.0,208706.51000000004,3492.99
TRI-ESTARY,232510.76,5355.0,71290.65000000002,90.86
Hydromorph,260514.8,5354.0,62328.869999999995,41648.63
Terbinafin,159955.4,5354.0,51930.88000000001,585.6100000000001
DILAUDID 0,29851.35,5333.0,1975661.0599999998,36240.34
PARSABIV (,8133.44,5320.0,683547.44,1079564.04
SM MUCUS R,315812.0,5319.0,40514.29,366.39
NULYTELY L,21552709.0,5318.0,105643.91,772.97
ORA-SWEET,711633.204,5312.0,57642.76,1648.8600000000001
ENLYTE SOF,158107.0,5306.0,808234.21,801.1999999999999
COSENTYX S,12371.5,5298.0,34532882.019999996,118208.52
FUSION PLU,165912.0,5297.0,170392.83,10210.779999999999
ZUBSOLV,186407.0,5293.0,1781475.84,22382.05
APRISO ER,618644.0,5292.0,2411836.4,73427.97
YUVAFEM 10,59939.0,5288.0,550248.14,9729.92
Nystatin T,205271.518,5285.0,88053.97999999998,2851.4700000000007
SULINDAC 1,277787.0,5272.0,61431.44000000001,1808.6499999999999
FENTANYL T,51669.0,5271.0,341130.49,4566.849999999999
MUCINEX 40,211723.0,5267.0,115144.62,352.58
DASETTA 1-,219216.256,5266.0,107287.04000000001,528.5
SENSIPAR 3,89372.289,5255.0,2337593.56,80174.63999999998
MYORISAN,252520.0,5248.0,1130183.47,9363.090000000002
AZOPT 1% E,55841.0,5237.0,1713452.59,39447.060000000005
LDR ACETAM,396790.0,5234.0,26134.71000000001,157.97
DEXILANT 3,180547.0,5233.0,1626885.61,27242.91
MYORISAN 4,242103.40000000002,5231.0,872876.73,22852.47
Bevespi Ae,56337.19999999999,5227.0,1729978.37,19888.87
JULEBER 28,214280.888,5210.0,90889.24999999999,164.04999999999998
VALPROIC 2,625970.0,5206.0,155389.99999999997,4073.69
NORG-EE 0.,182644.0,5204.0,60261.149999999994,87.23000000000002
Doxazosin,206281.6,5200.0,59648.59000000001,1689.51
ENEMEEZ MI,963416.99,5200.0,310974.99999999994,2053.0599999999995
INTELENCE,342998.0,5198.0,7005085.799999999,29335.65
ATAZANAVIR,176813.0,5196.0,1791803.4100000004,7569.589999999999
WARFARIN 6,168095.0,5192.0,50906.82,1198.74
CRESTOR 10,292204.0,5169.0,2485056.77,4097.03
VINCRISTIN,9111.01,5167.0,320913.0,153148.14
PROCRIT 40,6043.575000000001,5164.0,1762320.8499999999,373337.28
SM ACID RE,276695.5,5155.0,38821.94,675.9799999999999
ARISTADA 6,12308.718999999997,5155.0,9485089.870000001,65867.53
VESICARE T,154029.0,5152.0,1917126.1799999997,55600.5
FALMINA 0.,239713.356,5149.0,92940.42,402.42999999999995
NORLYDA (N,210476.0,5148.0,68382.78,137.28
BELSOMRA 1,153672.0,5141.0,1771933.1,32900.09
LDR EYE IT,26224.5,5135.0,34270.66,231.35
Eucrisa (C,315900.0,5135.0,3175522.74,70862.93
INVOKAMET,315240.0,5131.0,2583298.3699999996,22743.42
GENERLAC 1,4490762.028000001,5115.0,89478.33,1652.41
PROCRIT 20,7212.67,5104.0,1324673.8900000004,307590.53
MUCINEX 10,198007.0,5089.0,100709.21999999999,575.74
GLATIRAMER,65526.0,5075.0,14802957.949999996,41132.98
PROBENECID,272362.0,5072.0,188294.77999999997,3334.31
Perphenazi,286311.0,5070.0,179072.76999999993,2199.54
IREBESARTA,184279.0,5068.0,67640.38,1265.05
NASCOBAL 5,2778.25,5068.0,3264786.4700000007,16126.010000000002
JENCYCLA,189530.852,5059.0,54524.00999999998,156.9
Children's,34844.049,5055.0,35392.19,17182.23
DUREZOL,26471.0,5044.0,990916.1899999998,13320.49
PROCTOSOL,159948.40000000002,5037.0,126653.23,604.83
Amantadine,280328.3,5036.0,166348.06000000003,4020.6
PIRMELLA,167986.0,5029.0,84897.05,153.63000000000002
FOSINOPRIL,212968.0,5022.0,58693.780000000006,1415.4199999999996
Vimpat Ora,3046524.0,5019.0,4018105.9100000006,650968.3600000001
NEULASTA,3063.36,5019.0,18695849.069999993,2847857.5799999996
"CREON 6,00",1434899.0,5016.0,2135496.65,137075.09999999998
DIPYRIDAMO,159773.81000000003,5011.0,127001.61999999998,7718.379999999999
Aptensio X,146571.0,5007.0,1196252.3499999994,34368.67999999999
ALYACEN,182202.0,4998.0,92273.93,164.98999999999998
HM CHILD A,654266.6540000001,4994.0,29354.25,75.67
PROCTO-MED,176011.50000000003,4987.0,100193.62999999999,286.81
THIAMINE 2,9194.9,4985.0,550283.72,16948.399999999998
Baclofen 5,322683.0,4983.0,292460.04,6350.799999999999
ZEMPLAR,5716.099999999999,4977.0,671232.1699999999,139660.23
INFUVITE A,353938.39,4975.0,458881.81,2209.4000000000005
PIRMELLA 1,193831.428,4974.0,100085.28,253.88000000000005
CINVANTI,87219.5,4964.0,1220353.3199999998,785355.7800000001
GNP LORATA,498057.0,4955.0,33444.10999999999,173.88
FENTANYL 7,49227.01,4942.0,378152.61000000004,8130.790000000001
43975 0335,156067.0,4937.0,183164.43,1556.1899999999998
PROAIR INH,3528.75,4930.0,307437.23999999993,11863.399999999998
Vimpat 150,306226.5,4930.0,4264295.84,301007.3499999999
M-DRYL LIQ,656270.78,4923.0,24793.73,2554.94
DIPRIVAN 5,241061.858,4922.0,1851351.5400000003,162377.99
VENOFER 20,58835.5,4910.0,383855.42000000004,20685.1
DILT-XR,174912.0,4895.0,127258.45999999995,1033.2600000000002
SM SENNA-S,276806.0,4891.0,18403.710000000003,478.96
INFANTS' G,181335.169,4880.0,26079.489999999994,2238.2
XOFLUZA 40,9606.0,4879.0,706441.03,20429.65
LIALDA 1.2,506250.0,4877.0,3847454.9299999997,65089.020000000004
PORTIA TAB,316661.25800000003,4861.0,71874.64,629.37
Erythromyc,588409.9500000001,4857.0,1494946.1499999997,149244.2200000001
OMEGA 3 AC,558324.0,4849.0,175125.11,1378.55
CHLORPHENI,251305.33299999998,4839.0,15716.519999999999,275.40999999999997
MIFEPREX 2,4926.0,4838.0,359576.31,8842.34
LUTERA-28,260200.396,4838.0,67785.49000000002,404.32
AUBRA EQ-2,228811.76799999998,4834.0,354402.69000000006,175.72
DIPRIVAN 1,209002.10100000002,4829.0,1860184.1,12905.580000000002
AEROCHAMBE,5245.0,4826.0,255255.32000000004,1310.33
INTRALIPID,4805120.12,4817.0,658184.5900000001,69283.37
CHATEAL EQ,184416.82300000003,4814.0,456760.42999999993,626.9000000000001
NESTABS TA,146002.0,4806.0,304145.68,611.91
CLOBAZAM T,330582.5,4801.0,415230.11,22235.309999999998
REFRESH LA,20703.6,4793.0,71056.32999999999,115.59
FALMINA,187180.0,4787.0,70241.72,288.27000000000004
APAP ORAL,814824.0,4782.0,21443.2,66.11
SILACE 50,1874615.5,4777.0,47537.3,1691.0600000000002
MAPAP 325M,147940.0,4775.0,20115.54,104.81
MULTIVITE,163806.0,4770.0,26501.000000000007,46.43000000000001
PREVALITE,920236.814,4765.0,376622.87,3965.3499999999995
ETHAMBUTOL,315876.75,4765.0,169878.31000000003,2111.3900000000003
PHYTONADIO,115337.85,4764.0,4663886.68,266777.43
BANZEL 40,3448481.0,4755.0,10862965.469999999,1044863.0599999999
HI-TECH AC,964685.55,4752.0,424839.4,8023.499999999998
Anastrazol,155045.0,4750.0,50241.54,2484.14
PREVACID,168266.3,4749.0,2133234.2100000004,70345.15
SAVELLA 50,301670.0,4747.0,1911811.7499999998,26819.5
CEVIMELINE,426230.0,4743.0,506676.41000000003,7420.47
ZAFIRLUKAS,289500.0,4741.0,322301.89,5727.93
Multi Vit,238050.0,4739.0,47498.350000000006,91.55
COSENTYX P,11263.0,4733.0,32356069.890000004,31466.339999999997
GILENYA 0.,143653.0,4727.0,39347837.73,326101.70999999996
MITIGARE 0,185443.0,4723.0,1092532.91,4152.030000000001
CRESTOR 20,261516.0,4716.0,2224654.76,1552.14
BRIVIACT 5,320808.0,4711.0,5613176.93,430435.18999999994
VALSARTAN/,182565.5,4710.0,93696.17,2547.6500000000005
CRYSELLE-2,183344.0,4710.0,98583.79000000002,77.94
DAYTRANA 1,144329.0,4708.0,1744319.5299999998,93676.94
MEXILETINE,407414.57800000004,4707.0,433614.9199999999,5004.750000000001
DALIRESP,139670.0,4705.0,1639475.3,7593.209999999999
DESLORATAD,155586.0,4701.0,124599.04000000001,6446.969999999998
BUTRANS  B,18750.0,4699.0,2588918.44,5351.56
CARAFATE S,2695057.301,4698.0,1314211.38,31568.69
ODEFSEY (e,145822.0,4694.0,13659493.939999998,77332.85999999999
NESTABS,141966.0,4686.0,296036.71,431.65000000000003
MAKENA,16701.1,4677.0,12163864.450000003,151541.99
HM ADULT T,934305.5,4675.0,25879.510000000002,702.1700000000001
PHENYLEPHR,185055.14500000002,4666.0,1884269.7300000002,83678.67
1G/50ML CE,331763.5,4666.0,153150.03,20454.31
RIFAMPIN,234049.12200000003,4665.0,143404.09999999995,493.06
COLESEVELA,602339.0,4663.0,797370.99,9529.52
AMITIZA 8,277952.0,4648.0,1592671.72,44921.96
"Creon 24,0",1336169.0,4643.0,7771160.460000001,546804.5499999999
Vascepa Or,567727.0,4629.0,1283693.1099999999,44565.799999999996
CALCITONIN,16767.999999999993,4628.0,177535.47999999992,3621.4
WATER FOR,475454.244,4611.0,239193.94,2872.7899999999995
Carisoprod,322412.0,4599.0,50691.369999999995,801.11
ULTRA LUBR,76165.0,4597.0,45096.79,17.6
THIAMINE H,9339.34,4590.0,631648.4800000001,10894.509999999998
BAQSIMI,8528.0,4590.0,2124082.58,136515.25000000003
SM SENNA L,265020.909,4589.0,11427.9,472.21
REFRESH PM,18471.097999999998,4587.0,62669.65,400.90999999999997
NICORETTE,605598.0,4579.0,246314.37,474.17
ENTYVIO 30,4310.33,4574.0,21558011.65,2506714.89
ELINEST 0.,198804.326,4573.0,103771.45,255.51
ALL DAY AL,210862.5,4573.0,27286.090000000007,71.89999999999999
Atropine S,23713.978,4573.0,204369.06,7345.89
NEOSTIGMIN,26418.8,4569.0,1508967.6700000004,16285.23
DEPO-SUBQ,4362.475,4561.0,330241.74000000005,5294.86
OXAPROZIN,249668.0,4555.0,244910.70999999993,2347.29
CUBICIN 50,6157.5740000000005,4554.0,1403518.2899999998,104086.02
Diclegis,310489.0,4541.0,2055641.5100000002,14287.740000000002
APAP WITH,851352.513,4540.0,31472.51,651.28
INGREZZA 4,133928.0,4536.0,26564557.0,344791.8300000001
ADRENALIN,9365.701000000001,4535.0,593890.6000000001,27022.07
Glycopyrro,288621.379,4526.0,76737.06000000001,23412.440000000002
Jornay PM,132745.0,4521.0,1466187.6900000002,98846.87000000001
CHILD ALLE,640926.304,4507.0,30263.68999999999,89.65
LOXAPINE 5,277189.4,4496.0,208944.60999999996,3059.530000000001
ANDROGEL 1,489216.0,4486.0,3154931.8600000003,48792.21000000001
ONFI,661046.5,4477.0,8119454.149999999,1115420.8
GNP CHILDR,673485.245,4476.0,28381.010000000002,152.9
MULTAQ 400,281980.0,4473.0,2927042.32,70297.56999999999
BUTRANS,17425.0,4472.0,2420417.5300000007,5384.839999999999
KYLEENA 19,4445.192,4471.0,4100499.3300000005,133537.5
FUROSEM 10,340587.36,4470.0,55834.60000000001,1338.76
SYSTANE NI,28896.125,4451.0,89975.62,420.73
MIRCERA 75,1985.64,4445.0,533575.99,2655884.28
Losartan+H,178620.0,4444.0,65012.68999999999,2072.1
METHYLIN 5,1418938.65,4443.0,204396.31,1025.13
BAQSIMI 3,8340.0,4442.0,2051246.2,148432.8
KEYTRUDA,34740.200000000004,4430.0,29215502.980000008,6035195.649999998
MIRCERA 10,1604.3859999999997,4425.0,535418.5499999999,4294020.66
MARCAINE 0,157022.81799999997,4415.0,197265.56999999998,5505.69
APTIOM 600,205195.0,4413.0,6399129.31,288837.93
NovaPlus O,396191.0,4404.0,74796.65999999997,46660.75000000001
VITAMIN D,53186.0,4404.0,33600.450000000004,11.22
MINTOX MAX,1608277.0929999999,4399.0,32349.2,377.26
CAL-GEST A,394784.5,4393.0,24592.559999999998,67.04
TAMIFLU 30,71504.0,4386.0,986178.0900000001,2982.39
DESOXIMETA,241720.0,4384.0,483269.3600000001,4982.600000000001
L-METHYLFO,147459.0,4381.0,320715.43000000005,1148.71
CORLANOR 5,255089.0,4365.0,1825104.5300000003,53633.73
SOLIQUA 10,54842.0,4364.0,2588404.55,11450.4
DYMISTA NA,100954.0,4363.0,787559.84,59413.01000000001
ACARBOSE 1,400880.0,4356.0,108689.57,923.37
SOTALOL 12,296997.874,4348.0,72144.43000000001,1842.01
Bisoprolol,179763.0,4346.0,75942.75,2745.91
